2025-10-08 20:38:16 | rex | Rock Crab | ID:30000 | Resource box(small) x1 | 1 gp each | 1 gp total
2025-10-08 20:39:14 | rex | Ground loot | ID:1623 | Uncut sapphire x1 | 25 gp each | 25 gp total
2025-10-08 20:39:14 | rex | Ground loot | ID:1623 | Uncut sapphire x1 | 25 gp each | 25 gp total
2025-10-08 20:39:14 | rex | Ground loot | ID:526 | Bones x1 | 1 gp each | 1 gp total
2025-10-08 20:39:14 | rex | Ground loot | ID:30000 | Resource box(small) x1 | 1 gp each | 1 gp total
2025-10-08 20:39:14 | rex | Ground loot | ID:1623 | Uncut sapphire x1 | 25 gp each | 25 gp total
2025-10-08 20:39:14 | rex | Ground loot | ID:1623 | Uncut sapphire x1 | 25 gp each | 25 gp total
2025-10-08 20:39:14 | rex | Ground loot | ID:526 | Bones x1 | 1 gp each | 1 gp total
2025-10-08 20:39:14 | rex | Ground loot | ID:30000 | Resource box(small) x1 | 1 gp each | 1 gp total
2025-10-08 20:39:17 | rex | Hobgoblin | ID:526 | Bones x1 | 1 gp each | 1 gp total
2025-10-08 20:39:45 | rex | Rock Crab | ID:313 | Fishing bait x10 | 3 gp each | 30 gp total
2025-10-08 20:39:53 | rex | Hobgoblin | ID:526 | Bones x1 | 1 gp each | 1 gp total
2025-10-08 20:40:02 | rex | Hobgoblin | ID:526 | Bones x1 | 1 gp each | 1 gp total
2025-10-08 20:40:02 | rex | Hobgoblin | ID:559 | Body rune x6 | 3 gp each | 18 gp total
2025-10-08 20:40:25 | rex | Ground loot | ID:1059 | Leather gloves x1 | 6 gp each | 6 gp total
2025-10-08 20:40:25 | rex | Ground loot | ID:1059 | Leather gloves x1 | 6 gp each | 6 gp total
2025-10-08 20:43:30 | rex | Ground loot | ID:1059 | Leather gloves x1 | 6 gp each | 6 gp total
2025-10-08 20:43:30 | rex | Ground loot | ID:1059 | Leather gloves x1 | 6 gp each | 6 gp total
2025-10-08 20:46:42 | rex | Ground loot | ID:1059 | Leather gloves x1 | 6 gp each | 6 gp total
2025-10-08 20:46:42 | rex | Ground loot | ID:1059 | Leather gloves x1 | 6 gp each | 6 gp total
2025-10-08 21:00:56 | rex | Ground loot | ID:1059 | Leather gloves x1 | 6 gp each | 6 gp total
2025-10-08 21:00:56 | rex | Ground loot | ID:1059 | Leather gloves x1 | 6 gp each | 6 gp total
2025-10-08 22:40:55 | rex | Ground loot | ID:1059 | Leather gloves x1 | 6 gp each | 6 gp total
2025-10-08 22:40:55 | rex | Ground loot | ID:1059 | Leather gloves x1 | 6 gp each | 6 gp total
2025-10-08 22:43:47 | rex | Ground loot | ID:1059 | Leather gloves x1 | 6 gp each | 6 gp total
2025-10-08 22:43:47 | rex | Ground loot | ID:1059 | Leather gloves x1 | 6 gp each | 6 gp total
2025-10-08 22:45:59 | rex | Ground loot | ID:1059 | Leather gloves x1 | 6 gp each | 6 gp total
2025-10-08 22:45:59 | rex | Ground loot | ID:1059 | Leather gloves x1 | 6 gp each | 6 gp total
2025-10-08 22:51:07 | rex | Ground loot | ID:1059 | Leather gloves x1 | 6 gp each | 6 gp total
2025-10-08 22:51:07 | rex | Ground loot | ID:1059 | Leather gloves x1 | 6 gp each | 6 gp total
2025-10-08 22:52:34 | rex | Ground loot | ID:1059 | Leather gloves x1 | 6 gp each | 6 gp total
2025-10-08 22:52:34 | rex | Ground loot | ID:1059 | Leather gloves x1 | 6 gp each | 6 gp total
2025-10-08 22:55:09 | rex | Ground loot | ID:1059 | Leather gloves x1 | 6 gp each | 6 gp total
2025-10-08 22:55:09 | rex | Ground loot | ID:1059 | Leather gloves x1 | 6 gp each | 6 gp total
2025-10-08 22:57:00 | rex | Ground loot | ID:1059 | Leather gloves x1 | 6 gp each | 6 gp total
2025-10-08 22:57:00 | rex | Ground loot | ID:1059 | Leather gloves x1 | 6 gp each | 6 gp total
2025-10-08 23:00:19 | rex | Ground loot | ID:1059 | Leather gloves x1 | 6 gp each | 6 gp total
2025-10-08 23:00:19 | rex | Ground loot | ID:1059 | Leather gloves x1 | 6 gp each | 6 gp total
2025-10-08 23:05:11 | rex | Ground loot | ID:1059 | Leather gloves x1 | 6 gp each | 6 gp total
2025-10-08 23:05:11 | rex | Ground loot | ID:1059 | Leather gloves x1 | 6 gp each | 6 gp total
2025-10-08 23:05:18 | rex | Ground loot | ID:1059 | Leather gloves x1 | 6 gp each | 6 gp total
2025-10-08 23:05:18 | rex | Ground loot | ID:1059 | Leather gloves x1 | 6 gp each | 6 gp total
2025-10-08 23:05:46 | rex | Ground loot | ID:1059 | Leather gloves x1 | 6 gp each | 6 gp total
2025-10-08 23:05:46 | rex | Ground loot | ID:1059 | Leather gloves x1 | 6 gp each | 6 gp total
2025-10-08 23:05:56 | rex | Ground loot | ID:1059 | Leather gloves x1 | 6 gp each | 6 gp total
2025-10-08 23:05:56 | rex | Ground loot | ID:1059 | Leather gloves x1 | 6 gp each | 6 gp total
2025-10-08 23:07:49 | rex | Ground loot | ID:1059 | Leather gloves x1 | 6 gp each | 6 gp total
2025-10-08 23:07:49 | rex | Ground loot | ID:1059 | Leather gloves x1 | 6 gp each | 6 gp total
2025-10-08 23:08:02 | rex | Ground loot | ID:1059 | Leather gloves x1 | 6 gp each | 6 gp total
2025-10-08 23:08:02 | rex | Ground loot | ID:1059 | Leather gloves x1 | 6 gp each | 6 gp total
2025-10-08 23:13:25 | rex | Ground loot | ID:1059 | Leather gloves x1 | 6 gp each | 6 gp total
2025-10-08 23:13:25 | rex | Ground loot | ID:1059 | Leather gloves x1 | 6 gp each | 6 gp total
2025-10-08 23:13:37 | rex | Ground loot | ID:1059 | Leather gloves x1 | 6 gp each | 6 gp total
2025-10-08 23:13:37 | rex | Ground loot | ID:1059 | Leather gloves x1 | 6 gp each | 6 gp total
2025-10-08 23:29:25 | rex | Ground loot | ID:1059 | Leather gloves x1 | 6 gp each | 6 gp total
2025-10-08 23:29:25 | rex | Ground loot | ID:1059 | Leather gloves x1 | 6 gp each | 6 gp total
2025-10-08 23:33:22 | rex | Ground loot | ID:1059 | Leather gloves x1 | 6 gp each | 6 gp total
2025-10-08 23:33:22 | rex | Ground loot | ID:1059 | Leather gloves x1 | 6 gp each | 6 gp total
2025-10-08 23:37:15 | rex | Ground loot | ID:1059 | Leather gloves x1 | 6 gp each | 6 gp total
2025-10-08 23:37:15 | rex | Ground loot | ID:1059 | Leather gloves x1 | 6 gp each | 6 gp total
